n;k;algorithm;bush;time;success
5;10;bfs;2;0.0005;True
5;10;bfs;2;0.0003;True
5;10;bfs;2;0.0002;True
5;10;bfs;2;0.0002;True
5;10;bfs;2;0.0001;True
5;10;bfs;2;0.0001;True
5;10;bfs;2;0.0003;True
5;10;bfs;2;0.0002;True
5;10;bfs;2;0.0001;True
5;10;bfs;2;0.0001;True
5;10;bfs;2;0.0002;True
5;10;bfs;2;0.0003;True
5;10;bfs;2;0.0002;True
5;10;bfs;2;0.0001;True
5;10;bfs;2;0.0005;True
5;10;bfs;2;0.0002;True
5;10;bfs;2;0.0003;True
5;10;bfs;2;0.0003;True
5;10;bfs;2;0.0;True
5;10;bfs;2;0.0;True
5;10;bfs;2;0.0;True
5;10;bfs;2;0.0002;True
5;10;bfs;2;0.0002;True
5;10;bfs;2;0.0001;True
5;10;bfs;2;0.0004;True
5;10;bfs;2;0.0001;True
5;10;bfs;2;0.0001;True
5;10;bfs;2;0.0003;True
5;10;bfs;2;0.0005;True
5;10;bfs;2;0.0001;True
5;10;bfs;2;0.0002;True
5;10;bfs;2;0.0;True
5;10;bfs;2;0.0002;True
5;10;bfs;2;0.0;True
5;10;bfs;2;0.0003;True
5;10;bfs;2;0.0001;True
5;10;bfs;2;0.0;True
5;10;bfs;2;0.0006;True
5;10;bfs;2;0.0;True
5;10;bfs;2;0.0004;True
5;10;bfs;2;0.0005;True
5;10;bfs;2;0.0001;True
5;10;bfs;2;0.0002;True
5;10;bfs;2;0.0001;True
5;10;bfs;2;0.0;True
5;10;bfs;2;0.0003;True
5;10;bfs;2;0.0002;True
5;10;bfs;2;0.0;True
5;10;bfs;2;0.0;True
5;10;bfs;2;0.0;True
5;10;bfs;2;0.0002;True
5;10;bfs;2;0.0;True
5;10;bfs;2;0.0001;True
5;10;bfs;2;0.0;True
5;10;bfs;2;0.0003;True
5;10;bfs;2;0.0004;True
5;10;bfs;2;0.0;True
5;10;bfs;2;0.0004;True
5;10;bfs;2;0.0002;True
5;10;bfs;2;0.0002;True
5;10;bfs;2;0.0005;True
5;10;bfs;2;0.0004;True
5;10;bfs;2;0.0001;True
5;10;bfs;2;0.0003;True
5;10;bfs;2;0.0003;True
5;10;bfs;2;0.0003;True
5;10;bfs;2;0.0004;True
5;10;bfs;2;0.0002;True
5;10;bfs;2;0.0002;True
5;10;bfs;2;0.0001;True
5;10;bfs;2;0.0003;True
5;10;bfs;2;0.0003;True
5;10;bfs;2;0.0003;True
5;10;bfs;2;0.0002;True
5;10;bfs;2;0.0001;True
5;10;bfs;3;0.0002;True
5;10;bfs;3;0.0004;True
5;10;bfs;3;0.0004;True
5;10;bfs;3;0.0;True
5;10;bfs;3;0.0002;True
5;10;bfs;3;0.0002;True
5;10;bfs;3;0.0005;True
5;10;bfs;3;0.0002;True
5;10;bfs;3;0.0003;True
5;10;bfs;3;0.0002;True
5;10;bfs;3;0.0003;True
5;10;bfs;3;0.0003;True
5;10;bfs;3;0.0005;True
5;10;bfs;3;0.0004;True
5;10;bfs;3;0.0;True
5;10;bfs;3;0.0002;True
5;10;bfs;3;0.0001;True
5;10;bfs;3;0.0001;True
5;10;bfs;3;0.0001;True
5;10;bfs;3;0.0005;True
5;10;bfs;3;0.0001;True
5;10;bfs;3;0.0001;True
5;10;bfs;3;0.0;True
5;10;bfs;3;0.0;True
5;10;bfs;3;0.0002;True
5;10;bfs;3;0.0003;True
5;10;bfs;3;0.0001;True
5;10;bfs;3;0.0;True
5;10;bfs;3;0.0005;True
5;10;bfs;3;0.0001;True
5;10;bfs;3;0.0003;True
5;10;bfs;3;0.0001;True
5;10;bfs;3;0.0001;True
5;10;bfs;3;0.0004;True
5;10;bfs;3;0.0001;True
5;10;bfs;3;0.0;True
5;10;bfs;3;0.0001;True
5;10;bfs;3;0.0001;True
5;10;bfs;3;0.0001;True
5;10;bfs;3;0.0005;True
5;10;bfs;3;0.0001;True
5;10;bfs;3;0.0002;True
5;10;bfs;3;0.0;True
5;10;bfs;3;0.0002;True
5;10;bfs;3;0.0001;True
5;10;bfs;3;0.0006;True
5;10;bfs;3;0.0005;True
5;10;bfs;3;0.0003;True
5;10;bfs;3;0.0002;True
5;10;bfs;3;0.0;True
5;10;bfs;3;0.0;True
5;10;bfs;3;0.0002;True
5;10;bfs;3;0.0001;True
5;10;bfs;3;0.0004;True
5;10;bfs;3;0.0;True
5;10;bfs;3;0.0;True
5;10;bfs;3;0.0001;True
5;10;bfs;3;0.0003;True
5;10;bfs;3;0.0;True
5;10;bfs;3;0.0001;True
5;10;bfs;3;0.0;True
5;10;bfs;3;0.0003;True
5;10;bfs;3;0.0001;True
5;10;bfs;3;0.0;True
5;10;bfs;3;0.0002;True
5;10;bfs;3;0.0002;True
5;10;bfs;3;0.0002;True
5;10;bfs;3;0.0001;True
5;10;bfs;3;0.0003;True
5;10;bfs;3;0.0006;True
5;10;bfs;3;0.0002;True
5;10;bfs;3;0.0002;True
5;10;bfs;3;0.0003;True
5;10;bfs;3;0.0002;True
5;10;bfs;3;0.0004;True
5;10;bfs;3;0.0001;True
5;10;bfs;3;0.0002;True
5;10;bfs;3;0.0;True
5;10;bfs;3;0.0;True
5;10;bfs;3;0.0001;True
5;10;bfs;3;0.0002;True
5;10;bfs;3;0.0002;True
5;10;bfs;3;0.0002;True
5;10;bfs;3;0.0001;True
5;10;bfs;3;0.0003;True
5;10;bfs;3;0.0005;True
5;10;bfs;3;0.0001;True
5;10;bfs;3;0.0001;True
5;10;bfs;3;0.0004;True
5;10;bfs;3;0.0003;True
5;10;bfs;3;0.0001;True
5;10;bfs;3;0.0;True
5;10;bfs;3;0.0002;True
5;10;bfs;3;0.0003;True
5;10;bfs;3;0.0;True
5;10;bfs;3;0.0001;True
5;10;bfs;3;0.0002;True
5;10;bfs;3;0.0002;True
5;10;bfs;3;0.0001;True
5;10;bfs;3;0.0;True
5;10;bfs;5;0.0001;True
5;10;bfs;5;0.0;True
5;10;bfs;5;0.0;True
5;10;bfs;5;0.0002;True
5;10;bfs;5;0.0004;True
5;10;bfs;5;0.0;True
5;10;bfs;5;0.0004;True
5;10;bfs;5;0.0004;True
5;10;bfs;5;0.0;True
5;10;bfs;5;0.0001;True
5;10;bfs;5;0.0;True
5;10;bfs;5;0.0005;True
5;10;bfs;5;0.0004;True
5;10;bfs;5;0.0003;True
5;10;bfs;5;0.0003;True
5;10;bfs;5;0.0001;True
5;10;bfs;5;0.0002;True
5;10;bfs;5;0.0001;True
5;10;bfs;5;0.0002;True
5;10;bfs;5;0.0001;True
5;10;bfs;5;0.0001;True
5;10;bfs;5;0.0003;True
5;10;bfs;5;0.0004;True
5;10;bfs;5;0.0003;True
5;10;bfs;5;0.0001;True
5;10;bfs;5;0.0002;True
5;10;bfs;5;0.0002;True
5;10;bfs;5;0.0002;True
5;10;bfs;5;0.0;True
5;10;bfs;5;0.0002;True
